id;category;brand;article_id;order_id;is_purchased;created_at;created_by;updated_at;updated_by
1;attached cinema jaunty;resonate outside;modulo remit;press sadly;true;2024-07-15T08:35:57;protrude unlike meanwhile;2024-07-15T01:45:49;yahoo
2;wetly care consequently;terribly well-to-do;lighthearted;yet vast;true;2024-07-15T07:59:12;um;2024-07-15T09:03:07;around likely
3;ready;preen provided;qua who;shrilly slowly;false;2024-07-15T00:03:18;behind intently;2024-07-15T08:18:34;burrow nasal
4;monsoon amid;finally aboard provided;belated;offend excepting;false;2024-07-14T22:28:46;eligibility;2024-07-15T10:42:37;forehead whoa with
5;guest accounting;clumsy sister-in-law thankfully;up upbeat heavy;of oof;true;2024-07-14T22:40:35;understatement;2024-07-15T06:33:38;quaint dissuade
6;phew kiddingly;dazzling rarely winery;since whoever among;acculturate;false;2024-07-14T22:47:46;whirlwind once respect;2024-07-14T14:41:45;trade slouch bungalow
7;huzzah bijou supposing;plasticize glorious decompose;dolphin;exclude asterisk;true;2024-07-14T18:12:29;whoever;2024-07-15T01:12:50;worth
8;critical predict;turbulent fairly;ha;regarding culvert;false;2024-07-14T11:50:02;stamp till;2024-07-15T07:18:33;since furthermore sore
9;dizzy amid as;detract;yowza until besides;quicker;false;2024-07-14T20:05:46;ugly;2024-07-15T03:56:00;weird whether hmph
10;beginner feast builder;consulting disastrous uncommon;stealthily;provided;false;2024-07-15T02:42:57;gander likewise bugle;2024-07-15T02:25:56;without rev
